8554	12593	8665	12548
8665	12548	8766	12541
8766	12541	8892	12576
8892	12576	9091	12681
9091	12681	9209	12795
9209	12795	9283	12856
8653	12629	8754	12622
8754	12622	8852	12636
8852	12636	9106	12795
9106	12795	9271	12952
8963	13117	8992	13032
8992	13032	9106	12795
8581	13013	8703	13045
8703	13045	8963	13117
8892	12576	8907	12472
9392	10260	9395	10233
8760	12585	8766	12541
8766	12541	8775	12457
8775	12457	8804	12280
8804	12280	8851	12123
8851	12123	8964	11798
8964	11798	8990	11719
8990	11719	9046	11558
9046	11558	9162	11286
9162	11286	9199	11166
9199	11166	9234	11056
9234	11056	9266	10936
9266	10936	9313	10789
9313	10789	9359	10625
9359	10625	9366	10541
9366	10541	9376	10393
9376	10393	9392	10260
8553	11638	8837	11676
8837	11676	8990	11719
8567	11799	8804	11838
8769	11971	8804	11838
8804	11838	8823	11765
8823	11765	8837	11676
8823	11765	8964	11798
8964	11798	9047	11822
9047	11822	9076	11743
8990	11719	9076	11743
9076	11743	9173	11770
9173	11770	9203	11778
9203	11778	9410	11803
9410	11803	9538	11818
9538	11818	9672	11833
9672	11833	9878	11857
9878	11857	9925	11947
9125	11863	9193	11869
9193	11869	9396	11899
9396	11899	9526	11911
9526	11911	9663	11927
9663	11927	9859	11941
9859	11941	9925	11947
9095	11958	9183	11968
9183	11968	9386	11995
9386	11995	9516	12010
9516	12010	9651	12020
9651	12020	9907	12055
9217	11682	9425	11702
9425	11702	9555	11715
9555	11715	9689	11732
9689	11732	9892	11752
9892	11752	9907	11752
9907	11752	10042	11755
10042	11755	10112	11796
10112	11796	10124	11806
8542	11502	8573	11404
8573	11404	8636	11339
8636	11339	8739	11228
8739	11228	8904	11014
8904	11014	8947	10956
8947	10956	9022	10857
9022	10857	9210	10614
9210	10614	9250	10563
9250	10563	9376	10393
8430	10710	8443	10777
8443	10777	8487	10897
8487	10897	8542	11061
8542	11061	8636	11339
8487	10897	8604	10835
8604	10835	8698	10768
8739	11228	9162	11286
8947	10956	9234	11056
8525	10626	8578	10672
8578	10672	8698	10768
8698	10768	8722	10783
8722	10783	8882	10905
8882	10905	8947	10956
8393	10505	8525	10626
6880	11110	7160	11225
7160	11225	7333	11179
7333	11179	7607	11082
7607	11082	7873	11142
7873	11142	7993	11137
7993	11137	8204	11046
8204	11046	8236	11022
8236	11022	8342	10916
8342	10916	8443	10777
8443	10777	8578	10672
8578	10672	8701	10428
8701	10428	8739	10404
8739	10404	8820	10379
8820	10379	9029	10366
9029	10366	9147	10359
9147	10359	9241	10324
9241	10324	9392	10260
9392	10260	9593	10238
8525	10626	8661	10377
8661	10377	8720	10342
8720	10342	8804	10314
8804	10314	9141	10292
9141	10292	9401	10199
9401	10199	9592	10174
8783	10166	9108	10101
9108	10101	9444	10000
9592	10174	9593	10238
9508	10320	9590	10262
9508	10320	9509	10391
9509	10391	9569	10427
9569	10427	9644	10404
9590	10262	9593	10238
9590	10262	9646	10301
9644	10404	9662	10345
9646	10301	9662	10345
9556	10565	9569	10427
9480	11207	9511	10924
9511	10924	9541	10686
9541	10686	9556	10565
9203	13463	9215	13392
9215	13392	9247	13163
9247	13163	9251	13109
9251	13109	9259	13050
9259	13050	9271	12952
9271	12952	9283	12856
9283	12856	9308	12649
9308	12649	9323	12528
9323	12528	9349	12344
9349	12344	9365	12196
9365	12196	9377	12091
9377	12091	9386	11995
9386	11995	9396	11899
9396	11899	9410	11803
9410	11803	9425	11702
9425	11702	9437	11616
9437	11616	9449	11512
9449	11512	9461	11412
9461	11412	9473	11316
9473	11316	9480	11207
7911	10109	8061	10310
8061	10310	8159	10430
8159	10430	8199	10634
8199	10634	8281	10791
8281	10791	8300	10823
8300	10823	8336	10829
7461	11051	7591	11027
7591	11027	7747	11075
7747	11075	7980	11070
7980	11070	8173	10983
8173	10983	8336	10829
8336	10829	8430	10710
8430	10710	8525	10626
9592	10174	9812	10211
9812	10211	9851	10219
9812	10211	9849	10202
9593	10238	9865	10286
9865	10286	9948	10280
9948	10280	10122	10294
10122	10294	10340	10301
10340	10301	10605	10312
10605	10312	10859	10333
10859	10333	10962	10340
9851	10219	9948	10280
10962	10340	11114	10338
11114	10338	11336	10390
11336	10390	11370	10398
11370	10398	11454	10400
11454	10400	11660	10402
11660	10402	11949	10414
11949	10414	12230	10437
12230	10437	12274	10436
12274	10436	12328	10442
12328	10442	12755	10552
12755	10552	12899	10595
12899	10595	12995	10669
12899	10595	12980	10575
9757	10589	9979	10639
9979	10639	10026	10635
10026	10635	10249	10731
10249	10731	10321	10713
10274	10613	10476	10571
9757	10589	9841	10359
9757	10589	9757	10708
9757	10708	9801	10807
9801	10807	9927	11072
9841	10359	9865	10286
9927	11072	10012	11256
9199	11166	9480	11207
9480	11207	9615	11225
9615	11225	9745	11243
9745	11243	10012	11256
10012	11256	10244	11160
10244	11160	10487	11057
10487	11057	10673	10975
10673	10975	10792	10923
10792	10923	10824	10909
10906	10874	10965	10851
10965	10851	11039	10820
11039	10820	11151	10781
11151	10781	11232	10745
11232	10745	11269	10731
11269	10731	11468	10652
11468	10652	11718	10544
11718	10544	11949	10414
10340	10301	10476	10571
10476	10571	10572	10773
10572	10773	10673	10975
10490	10080	10511	10128
10511	10128	10605	10312
10605	10312	10679	10486
10679	10486	10768	10686
10768	10686	10847	10853
10885	10928	10939	11045
10511	10128	10723	10088
10723	10088	10885	10045
10885	10045	10955	10105
10885	10045	10910	10131
10490	10080	10522	10056
10522	10056	10923	9925
10923	9925	11052	9935
11052	9935	11177	9935
9823	11119	9927	11072
9927	11072	10094	10994
10094	10994	10389	10855
10389	10855	10572	10773
10572	10773	10768	10686
10768	10686	11090	10538
11090	10538	11112	10526
9841	10359	9908	10415
9908	10415	9979	10639
9979	10639	10094	10994
10094	10994	10244	11160
10244	11160	10436	11344
10436	11344	10489	11405
10489	11405	10640	11564
10640	11564	10721	11639
10721	11639	10819	11664
10819	11664	10919	11666
10919	11666	11048	11745
11022	11782	11048	11745
11048	11745	11155	11750
11022	11782	11155	11750
10824	11992	10869	11949
10869	11949	10904	11902
10904	11902	11022	11782
10312	11722	10528	11729
10528	11729	10715	11812
10715	11812	10904	11902
10904	11902	11115	12023
11115	12023	11155	12071
10695	11839	10869	11949
10869	11949	11077	12062
11155	12071	11251	12071
11251	12071	11328	12040
11077	12062	11115	12023
10059	10147	10080	10199
10080	10199	10122	10294
10122	10294	10274	10613
10274	10613	10321	10713
10321	10713	10389	10855
10389	10855	10487	11057
10487	11057	10586	11116
10586	11116	10678	11172
10678	11172	10818	11269
10080	10199	10228	10151
10228	10151	10511	10128
11193	9995	11237	10114
11237	10114	11269	10204
11269	10204	11336	10390
11177	9935	11193	9995
11112	10526	11135	10519
11135	10519	11291	10438
11291	10438	11370	10398
11454	10400	11610	10305
11610	10305	11833	10206
11833	10206	12237	10023
12237	10023	12718	9802
12718	9802	12837	9748
12837	9748	12939	9703
11370	10398	11512	10105
11512	10105	11523	10059
11512	10105	11610	10305
11610	10305	11660	10402
11660	10402	11718	10544
11718	10544	11785	10718
10955	10105	10979	10017
10979	10017	11193	9995
11193	9995	11512	10105
10955	10105	11021	10242
11021	10242	11089	10276
11089	10276	11114	10338
11102	10442	11114	10338
11102	10442	11135	10519
11135	10519	11200	10678
11200	10678	11258	10682
11258	10682	11269	10731
10910	10131	10974	10266
10962	10340	10974	10266
10962	10340	10971	10367
10971	10367	11009	10442
11009	10442	11062	10458
11062	10458	11090	10538
11090	10538	11134	10642
11133	10714	11157	10699
11133	10714	11151	10781
11134	10642	11157	10699
10965	10851	11134	10642
11512	10105	11741	10041
11741	10041	12129	9840
12129	9840	12600	9599
12600	9599	12722	9545
11741	10041	11833	10206
11833	10206	11949	10414
11949	10414	12056	10655
12056	10655	12183	10910
12183	10910	12307	11169
11949	10414	12234	10279
12234	10279	12341	10218
12341	10218	12671	10042
12671	10042	12817	9964
12817	9964	12932	9900
12932	9900	13086	9825
12234	10279	12295	10392
12274	10436	12295	10392
12295	10392	12341	10218
12115	9815	12129	9840
12129	9840	12237	10023
12237	10023	12341	10218
12995	10669	13082	10634
13082	10634	13178	10623
13178	10623	13216	10664
13035	10635	13082	10634
13216	10664	13332	10832
13332	10832	13389	10808
13389	10808	13605	10719
13605	10719	13919	10583
13919	10583	14103	10489
14103	10489	14210	10437
14210	10437	14564	10262
13332	10832	13409	11004
13409	11004	13546	11352
13546	11352	13594	11489
13594	11489	13601	11518
13601	11518	13655	11727
13655	11727	13702	11918
13702	11918	13749	12114
13749	12114	13792	12292
12995	10669	13035	10635
13035	10635	13135	10551
13135	10551	13375	10344
13375	10344	13440	10284
11824	8995	11909	9155
11523	10059	11543	10015
11543	10015	11677	9729
11677	9729	11753	9541
11753	9541	11766	9512
11766	9512	11794	9438
11794	9438	11810	9392
11810	9392	11888	9203
11888	9203	11909	9155
11909	9155	12078	9065
12078	9065	12150	9019
12150	9019	12242	8972
12242	8972	12483	8834
12483	8834	12630	8722
12630	8722	12925	8494
12925	8494	13042	8395
13042	8395	13107	8343
13107	8343	13277	8211
13277	8211	13459	8072
13459	8072	13616	7949
13616	7949	13919	7707
13919	7707	14004	7642
14004	7642	14169	7508
14169	7508	14606	7251
14606	7251	15043	6799
15043	6799	15478	6343
15478	6343	15719	6218
15719	6218	15758	6204
11824	8995	12156	8760
12156	8760	12330	8636
12330	8636	12500	8504
12500	8504	12598	8390
12598	8390	12689	8289
12689	8289	12753	8187
12753	8187	12830	8031
12830	8031	12980	7597
12980	7597	13032	7334
13032	7334	13047	7234
13047	7234	13058	7165
13058	7165	13067	7113
13067	7113	13095	6926
13095	6926	13125	6717
13125	6717	13209	6564
13209	6564	13245	6491
12598	8390	12771	8439
12771	8439	12925	8494
12689	8289	12852	8366
12852	8366	13042	8395
11824	8995	11882	8527
11882	8527	11892	8372
11892	8372	11933	8198
11933	8198	11979	8014
11979	8014	12025	7852
12025	7852	12041	7788
12041	7788	12075	7696
12075	7696	12122	7553
12122	7553	12180	7387
12180	7387	12259	7164
12259	7164	12311	7020
12311	7020	12340	6947
12340	6947	12395	6785
12395	6785	12468	6592
12202	8895	12242	8972
12242	8972	12322	9124
12322	9124	12480	9394
12480	9394	12569	9547
12569	9547	12584	9572
12584	9572	12600	9599
12600	9599	12718	9802
12718	9802	12817	9964
11677	9729	12093	9783
12047	9429	12074	9217
12047	9429	12066	9558
12066	9558	12093	9783
12074	9217	12078	9065
12093	9783	12115	9815
11632	8302	11892	8372
11892	8372	12195	8436
12195	8436	12349	8464
12349	8464	12500	8504
11415	8113	11472	7899
11415	8113	11416	8283
11472	7899	11553	7437
11553	7437	11562	7393
